MUNICIPIO_RESIDENCIA_COD;MUNICIPIO_RESIDENCIA;SEXO;FAIXA_ETARIA;POPULACAO
3100104;ABADIA DOS DOURADOS;HOMENS;0a4;  205,114255
3100104;ABADIA DOS DOURADOS;MULHERES;0a4;  204,789255
3100104;ABADIA DOS DOURADOS;HOMENS;5a9;  253,292514
3100104;ABADIA DOS DOURADOS;MULHERES;5a9;  207,258655
3100104;ABADIA DOS DOURADOS;HOMENS;10a14;  240,534680
3100104;ABADIA DOS DOURADOS;MULHERES;10a14;  232,759760
3100104;ABADIA DOS DOURADOS;HOMENS;15a19;  264,828549
3100104;ABADIA DOS DOURADOS;MULHERES;15a19;  280,210306
3100104;ABADIA DOS DOURADOS;HOMENS;20a24;  256,492213
3100104;ABADIA DOS DOURADOS;MULHERES;20a24;  255,823135
3100104;ABADIA DOS DOURADOS;HOMENS;25a29;  250,952071
3100104;ABADIA DOS DOURADOS;MULHERES;25a29;  255,348296
3100104;ABADIA DOS DOURADOS;HOMENS;30a34;  248,017592
3100104;ABADIA DOS DOURADOS;MULHERES;30a34;  276,220751
3100104;ABADIA DOS DOURADOS;HOMENS;35a39;  275,725874
3100104;ABADIA DOS DOURADOS;MULHERES;35a39;  260,291789
3100104;ABADIA DOS DOURADOS;HOMENS;40a44;  251,324731
3100104;ABADIA DOS DOURADOS;MULHERES;40a44;  259,592997
3100104;ABADIA DOS DOURADOS;HOMENS;45a49;  255,402235
3100104;ABADIA DOS DOURADOS;MULHERES;45a49;  197,483980
3100104;ABADIA DOS DOURADOS;HOMENS;50a54;  234,846746
3100104;ABADIA DOS DOURADOS;MULHERES;50a54;  196,203487
3100104;ABADIA DOS DOURADOS;HOMENS;55a59;  182,999097
3100104;ABADIA DOS DOURADOS;MULHERES;55a59;  233,960180
3100104;ABADIA DOS DOURADOS;HOMENS;60a64;  185,794591
3100104;ABADIA DOS DOURADOS;MULHERES;60a64;  188,433457
3100104;ABADIA DOS DOURADOS;HOMENS;65a69;  158,658827
3100104;ABADIA DOS DOURADOS;MULHERES;65a69;  147,971824
3100104;ABADIA DOS DOURADOS;HOMENS;70a74;  125,428017
3100104;ABADIA DOS DOURADOS;MULHERES;70a74;  101,782835
3100104;ABADIA DOS DOURADOS;HOMENS;75a79;   90,300470
3100104;ABADIA DOS DOURADOS;MULHERES;75a79;   71,317072
3100104;ABADIA DOS DOURADOS;HOMENS;80+;   83,078703
3100104;ABADIA DOS DOURADOS;MULHERES;80+;  123,220551
3100203;ABAETE;HOMENS;0a4;  677,190654
3100203;ABAETE;MULHERES;0a4;  657,367708
3100203;ABAETE;HOMENS;5a9;  789,250842
3100203;ABAETE;MULHERES;5a9;  728,207002
3100203;ABAETE;HOMENS;10a14;  793,075515
3100203;ABAETE;MULHERES;10a14;  741,896410
3100203;ABAETE;HOMENS;15a19;  873,829873
3100203;ABAETE;MULHERES;15a19;  879,281527
3100203;ABAETE;HOMENS;20a24;  949,642720
3100203;ABAETE;MULHERES;20a24;  872,526515
3100203;ABAETE;HOMENS;25a29;  938,098871
3100203;ABAETE;MULHERES;25a29;  900,416171
3100203;ABAETE;HOMENS;30a34;  927,441089
3100203;ABAETE;MULHERES;30a34;  932,973667
3100203;ABAETE;HOMENS;35a39;  952,725783
3100203;ABAETE;MULHERES;35a39;  914,533153
3100203;ABAETE;HOMENS;40a44;  848,055515
3100203;ABAETE;MULHERES;40a44;  902,797499
3100203;ABAETE;HOMENS;45a49;  762,911397
3100203;ABAETE;MULHERES;45a49;  777,422212
3100203;ABAETE;HOMENS;50a54;  697,993079
3100203;ABAETE;MULHERES;50a54;  766,742543
3100203;ABAETE;HOMENS;55a59;  721,465324
3100203;ABAETE;MULHERES;55a59;  663,059326
3100203;ABAETE;HOMENS;60a64;  628,078193
3100203;ABAETE;MULHERES;60a64;  589,815914
3100203;ABAETE;HOMENS;65a69;  475,539311
3100203;ABAETE;MULHERES;65a69;  482,979817
3100203;ABAETE;HOMENS;70a74;  309,187065
3100203;ABAETE;MULHERES;70a74;  397,786054
3100203;ABAETE;HOMENS;75a79;  228,535909
3100203;ABAETE;MULHERES;75a79;  265,230483
3100203;ABAETE;HOMENS;80+;  306,631061
3100203;ABAETE;MULHERES;80+;  340,182591
3100302;ABRE CAMPO;HOMENS;0a4;  395,521405
3100302;ABRE CAMPO;MULHERES;0a4;  394,769973
3100302;ABRE CAMPO;HOMENS;5a9;  453,604065
3100302;ABRE CAMPO;MULHERES;5a9;  436,111168
3100302;ABRE CAMPO;HOMENS;10a14;  480,282950
3100302;ABRE CAMPO;MULHERES;10a14;  426,532029
3100302;ABRE CAMPO;HOMENS;15a19;  537,958967
3100302;ABRE CAMPO;MULHERES;15a19;  488,104020
3100302;ABRE CAMPO;HOMENS;20a24;  515,144986
3100302;ABRE CAMPO;MULHERES;20a24;  540,759097
3100302;ABRE CAMPO;HOMENS;25a29;  530,631800
3100302;ABRE CAMPO;MULHERES;25a29;  500,877100
3100302;ABRE CAMPO;HOMENS;30a34;  551,037933
3100302;ABRE CAMPO;MULHERES;30a34;  487,091521
3100302;ABRE CAMPO;HOMENS;35a39;  496,187609
3100302;ABRE CAMPO;MULHERES;35a39;  567,826156
3100302;ABRE CAMPO;HOMENS;40a44;  529,587866
3100302;ABRE CAMPO;MULHERES;40a44;  473,013496
3100302;ABRE CAMPO;HOMENS;45a49;  475,587909
3100302;ABRE CAMPO;MULHERES;45a49;  414,085521
3100302;ABRE CAMPO;HOMENS;50a54;  454,878544
3100302;ABRE CAMPO;MULHERES;50a54;  398,483838
3100302;ABRE CAMPO;HOMENS;55a59;  401,833493
3100302;ABRE CAMPO;MULHERES;55a59;  412,112410
3100302;ABRE CAMPO;HOMENS;60a64;  349,018557
3100302;ABRE CAMPO;MULHERES;60a64;  384,947560
3100302;ABRE CAMPO;HOMENS;65a69;  265,351683
3100302;ABRE CAMPO;MULHERES;65a69;  323,649284
3100302;ABRE CAMPO;HOMENS;70a74;  202,757895
3100302;ABRE CAMPO;MULHERES;70a74;  239,220103
3100302;ABRE CAMPO;HOMENS;75a79;  168,079133
3100302;ABRE CAMPO;MULHERES;75a79;  139,639359
3100302;ABRE CAMPO;HOMENS;80+;  195,851018
3100302;ABRE CAMPO;MULHERES;80+;  208,749612
3100401;ACAIACA;HOMENS;0a4;  116,756879
3100401;ACAIACA;MULHERES;0a4;  140,408833
3100401;ACAIACA;HOMENS;5a9;  135,309368
3100401;ACAIACA;MULHERES;5a9;  125,653818
3100401;ACAIACA;HOMENS;10a14;  141,276022
3100401;ACAIACA;MULHERES;10a14;  127,224680
3100401;ACAIACA;HOMENS;15a19;  146,569953
3100401;ACAIACA;MULHERES;15a19;  159,835780
3100401;ACAIACA;HOMENS;20a24;  153,511335
3100401;ACAIACA;MULHERES;20a24;  131,966368
3100401;ACAIACA;HOMENS;25a29;  129,598820
3100401;ACAIACA;MULHERES;25a29;  150,509288
3100401;ACAIACA;HOMENS;30a34;  136,316690
3100401;ACAIACA;MULHERES;30a34;  157,845155
3100401;ACAIACA;HOMENS;35a39;  169,959628
3100401;ACAIACA;MULHERES;35a39;  134,856923
3100401;ACAIACA;HOMENS;40a44;  132,636688
3100401;ACAIACA;MULHERES;40a44;  153,337756
3100401;ACAIACA;HOMENS;45a49;  132,380069
3100401;ACAIACA;MULHERES;45a49;  129,071265
3100401;ACAIACA;HOMENS;50a54;  120,470513
3100401;ACAIACA;MULHERES;50a54;  129,978040
3100401;ACAIACA;HOMENS;55a59;  113,168497
3100401;ACAIACA;MULHERES;55a59;  135,257621
3100401;ACAIACA;HOMENS;60a64;  109,565276
3100401;ACAIACA;MULHERES;60a64;  112,817793
3100401;ACAIACA;HOMENS;65a69;   97,398925
3100401;ACAIACA;MULHERES;65a69;   86,067914
3100401;ACAIACA;HOMENS;70a74;   68,337746
3100401;ACAIACA;MULHERES;70a74;   69,271666
3100401;ACAIACA;HOMENS;75a79;   44,560870
3100401;ACAIACA;MULHERES;75a79;   51,700298
3100401;ACAIACA;HOMENS;80+;   45,801176
3100401;ACAIACA;MULHERES;80+;   80,093894
3100500;ACUCENA;HOMENS;0a4;  298,228814
3100500;ACUCENA;MULHERES;0a4;  252,146714
3100500;ACUCENA;HOMENS;5a9;  362,002065
3100500;ACUCENA;MULHERES;5a9;  276,065723
3100500;ACUCENA;HOMENS;10a14;  348,194122
3100500;ACUCENA;MULHERES;10a14;  302,128035
3100500;ACUCENA;HOMENS;15a19;  397,696958
3100500;ACUCENA;MULHERES;15a19;  338,164240
3100500;ACUCENA;HOMENS;20a24;  408,903307
3100500;ACUCENA;MULHERES;20a24;  348,324106
3100500;ACUCENA;HOMENS;25a29;  354,268315
3100500;ACUCENA;MULHERES;25a29;  385,440288
3100500;ACUCENA;HOMENS;30a34;  387,145191
3100500;ACUCENA;MULHERES;30a34;  357,622490
3100500;ACUCENA;HOMENS;35a39;  385,093236
3100500;ACUCENA;MULHERES;35a39;  378,268567
3100500;ACUCENA;HOMENS;40a44;  381,477489
3100500;ACUCENA;MULHERES;40a44;  337,824844
3100500;ACUCENA;HOMENS;45a49;  358,702974
3100500;ACUCENA;MULHERES;45a49;  279,580793
